t;V;DeltaV;ref_dx;ref_psi;x;dx;theta;psi
10.9630;-1.1955;0.1802;0.0000;0.0000;0.0569;0.4137;-0.0623;0.0355
11.1130;-8.8449;0.1489;0.0000;0.0000;0.0917;0.4603;-0.1074;0.0110
11.2650;-18.3228;0.0388;0.0000;0.0000;0.1278;0.2494;-0.1464;-0.0545
11.4150;-15.4385;0.0171;0.0000;0.0000;0.1548;-0.0366;-0.1899;-0.0560
11.5650;-5.0550;-0.0673;0.0000;0.0000;0.1609;-0.0063;-0.1601;-0.0943
11.7150;6.8786;-0.0727;0.0000;0.0000;0.1355;-0.3030;-0.0789;-0.0812
11.8650;7.5720;-0.0544;0.0000;0.0000;0.1056;-0.1397;-0.0198;-0.0572
12.0150;-0.0372;-0.0142;0.0000;0.0000;0.0793;-0.3623;-0.0021;-0.0247
12.1650;-2.9150;-0.0439;0.0000;0.0000;0.0659;0.1695;0.0206;-0.0366
12.3170;-37.2629;-0.0330;0.0000;0.0000;0.0591;-0.0990;-0.0402;-0.0239
12.4670;3.5565;-0.0117;0.0000;0.0000;0.0436;-0.1889;0.0120;-0.0074
12.6170;6.8742;0.0257;0.0000;0.0000;0.0463;0.0214;0.0004;0.0159
12.7670;5.4083;0.0304;0.0000;0.0000;0.0643;0.3325;-0.0275;0.0158
12.9170;-8.1019;0.0077;0.0000;0.0000;0.0908;0.1212;-0.1086;-0.0015
13.0670;5.2316;-0.0298;0.0000;0.0000;0.1017;0.0425;-0.0837;-0.0222
13.2170;-13.4964;0.0009;0.0000;0.0000;0.1152;0.1052;-0.0986;-0.0003
13.3690;-8.6599;0.0505;0.0000;0.0000;0.1193;-0.2265;-0.1147;0.0287
13.5190;3.4395;0.0801;0.0000;0.0000;0.1158;0.0550;-0.0675;0.0411
13.6690;-13.4846;0.1172;0.0000;0.0000;0.1089;0.0391;-0.0767;0.0559
13.8190;-4.9343;0.1388;0.0000;0.0000;0.0891;-0.2494;-0.0467;0.0586
13.9690;15.5536;0.1371;0.0000;0.0000;0.0665;0.0766;0.0166;0.0474
14.1190;-19.2284;0.1365;0.0000;0.0000;0.0525;0.0114;-0.0067;0.0389
14.2690;11.6538;0.1372;0.0000;0.0000;0.0306;-0.3601;0.0130;0.0324
14.4200;12.6387;0.1512;0.0000;0.0000;0.0208;0.0465;0.0325;0.0350
14.5700;5.9292;0.1501;0.0000;0.0000;0.0241;0.2239;0.0308;0.0279
14.7200;7.3483;0.1041;0.0000;0.0000;0.0526;0.1607;-0.0218;-0.0045
14.8700;3.0810;0.0619;0.0000;0.0000;0.1040;0.5601;-0.1059;-0.0288
15.0200;-6.7975;-0.0394;0.3000;0.0000;0.1529;0.3376;-0.1665;-0.0828
15.1700;-0.4452;-0.1743;0.3000;0.0000;0.1769;-0.1102;-0.1744;-0.1449
15.3200;-2.2003;-0.1920;0.3000;0.0000;0.1847;0.1076;-0.1146;-0.1299
15.4700;-18.6621;-0.1881;0.3000;0.0000;0.1718;-0.2368;-0.0514;-0.1047
15.6210;13.8421;-0.1551;0.3000;0.0000;0.1629;-0.1748;-0.0019;-0.0677
15.7710;-5.6100;-0.1442;0.3000;0.0000;0.1640;0.1926;0.0461;-0.0492
15.9210;17.8543;-0.1113;0.3000;0.0000;0.1786;0.0356;0.0460;-0.0235
16.0710;26.3294;-0.0926;0.3000;0.0000;0.2245;0.4379;0.0321;-0.0086
16.2210;-0.2287;-0.1024;0.3000;0.0000;0.3043;0.5806;-0.0996;-0.0130
16.3710;-3.5668;-0.0968;0.3000;0.0000;0.3853;0.5704;-0.1807;-0.0069
16.5210;15.3997;-0.1209;0.3000;0.0000;0.4469;0.0941;-0.1934;-0.0194
16.6730;11.3013;-0.2230;0.3000;0.0000;0.4933;0.3738;-0.1094;-0.0746
16.8230;-2.6058;-0.2390;0.3000;0.0000;0.5399;0.5602;-0.0906;-0.0715
16.9730;-14.7405;-0.1852;0.3000;0.0000;0.5783;0.3404;-0.0998;-0.0270
17.1230;-16.4994;-0.1269;0.3000;0.0000;0.6079;0.2545;-0.0800;0.0105
17.2730;9.6586;-0.1277;0.3000;0.0000;0.6214;-0.1172;-0.0451;0.0088
17.4230;13.7045;-0.0747;0.3000;0.0000;0.6261;0.1216;0.0200;0.0377
17.5730;-8.2901;0.0014;0.3000;0.0000;0.6257;-0.1264;0.0431;0.0745
17.7250;5.6864;0.0358;0.3000;0.0000;0.6221;0.0578;0.1278;0.0813
17.8750;0.4006;0.1119;0.3000;0.0000;0.6455;0.3895;0.1299;0.1104
18.0250;6.6875;0.0653;0.3000;0.0000;0.7032;0.5894;0.0525;0.0638
18.1750;11.1769;-0.0283;0.3000;0.0000;0.7764;0.4874;-0.0311;-0.0016
18.3250;-4.2219;-0.1495;0.3000;0.0000;0.8648;0.6909;-0.1076;-0.0717
18.4750;-2.8879;-0.2444;0.3000;0.0000;0.9346;0.5318;-0.1199;-0.1124
18.6250;-11.3745;-0.2020;0.3000;0.0000;0.9904;0.3285;-0.0980;-0.0689
18.7770;4.3515;-0.2423;0.3000;0.0000;1.0334;0.0436;-0.0595;-0.0800
18.9270;-9.7168;-0.1998;0.3000;0.0000;1.0766;0.2387;-0.0110;-0.0393
19.0770;-8.6354;-0.1604;0.3000;0.0000;1.1299;0.2695;-0.0714;-0.0095
19.2270;-12.7360;-0.1551;0.3000;0.0000;1.1766;0.2471;-0.0690;-0.0047
19.3770;-0.3297;-0.2141;0.3000;0.0000;1.2136;0.0369;-0.0697;-0.0394
19.5270;9.5763;-0.2600;0.3000;0.0000;1.2325;0.0220;-0.0011;-0.0580
19.6770;4.8136;-0.2466;0.3000;0.0000;1.2536;0.2926;0.0223;-0.0395
19.8290;-4.5352;-0.0973;0.3000;0.0000;1.2768;-0.0491;0.0213;0.0540
19.9790;12.3651;-0.0181;0.3000;0.0000;1.3024;0.1549;0.0601;0.0902
20.1290;-2.2882;-0.4098;0.3000;1.5708;1.3609;0.6384;0.0225;0.0817
20.2790;4.8301;-0.7148;0.3000;1.5708;1.4334;0.1813;-0.0957;0.1665
20.4290;5.5034;-0.7289;0.3000;1.5708;1.4932;0.1095;-0.0921;0.4010
20.5790;1.6291;-0.7166;0.3000;1.5708;1.5514;0.4411;-0.0582;0.6122
20.7290;-12.1261;-0.6387;0.3000;1.5708;1.6253;0.4291;-0.1528;0.8251
20.8810;-0.8428;-0.5737;0.3000;1.5708;1.6857;0.3420;-0.1380;0.9928
21.0310;7.3710;-0.4889;0.3000;1.5708;1.7439;0.3502;-0.0959;1.1409
21.1810;10.3782;-0.5246;0.3000;1.5708;1.7928;0.1369;-0.0866;1.1937
21.3310;13.2357;-0.4813;0.3000;1.5708;1.8409;0.1721;-0.0689;1.2846
21.4810;10.0802;-0.4467;0.3000;1.5708;1.8789;-0.0443;-0.0573;1.3572
21.6310;8.7275;-0.4902;0.3000;1.5708;1.9077;0.2875;-0.0256;1.3698
21.7810;-11.7693;-0.4256;0.3000;1.5708;1.9259;0.2715;-0.0102;1.4429
21.9330;2.6736;-0.3807;0.3000;1.5708;1.9415;-0.0001;0.0294;1.4913
22.0830;-12.9106;-0.2859;0.3000;1.5708;1.9753;0.2481;0.0337;1.5587
22.2330;-1.0895;-0.1577;0.3000;1.5708;2.0239;0.1081;-0.0288;1.6355
22.3830;14.1864;-0.0668;0.3000;1.5708;2.0814;0.4703;-0.0437;1.6772
22.5330;5.8905;-0.0308;0.3000;1.5708;2.1499;0.5874;-0.0747;1.6790
22.6830;-2.0276;-0.0462;0.3000;1.5708;2.2156;0.6160;-0.0911;1.6498
22.8330;1.2664;-0.0914;0.3000;1.5708;2.2696;0.5876;-0.0903;1.6101
22.9850;-5.2703;-0.1424;0.3000;1.5708;2.3275;0.5128;-0.0868;1.5728
23.1350;13.4296;-0.0212;0.3000;1.5708;2.3766;0.3843;-0.0745;1.6423
23.2850;25.4287;-0.0341;0.3000;1.5708;2.4271;0.5252;-0.0540;1.6224
23.4350;-2.0055;-0.0879;0.3000;1.5708;2.4911;0.6249;-0.1123;1.5822
23.5850;5.7324;-0.1344;0.3000;1.5708;2.5401;0.4479;-0.0952;1.5544
23.7350;-9.0841;-0.0912;0.3000;1.5708;2.5809;0.3627;-0.0869;1.5813
23.8850;-1.9756;-0.0989;0.3000;1.5708;2.6193;0.1552;-0.0893;1.5744
24.0370;-1.3883;-0.1281;0.3000;1.5708;2.6523;0.0637;-0.0596;1.5569
24.1870;15.5828;-0.1049;0.3000;1.5708;2.6826;0.0375;-0.0347;1.5730
24.3370;11.6527;-0.0424;0.3000;1.5708;2.7074;0.3304;0.0050;1.6097
24.4870;-7.8381;0.0117;0.3000;1.5708;2.7385;0.3859;-0.0039;1.6339
24.6370;-0.6602;0.0130;0.3000;1.5708;2.7739;0.4590;0.0059;1.6226
24.7870;-6.1276;0.0363;0.3000;1.5708;2.8158;0.4192;-0.0037;1.6257
24.9370;19.0905;0.0141;0.3000;1.5708;2.8612;0.4140;-0.0077;1.6040
25.0870;-14.6115;-0.0175;0.0000;1.5708;2.9202;0.5026;-0.0980;1.5800
25.2390;0.5219;-0.0084;0.0000;1.5708;2.9677;0.2551;-0.0971;1.5843
25.3890;4.5896;-0.0273;0.0000;1.5708;3.0072;0.0534;-0.1008;1.5695
25.5390;11.6046;-0.0796;0.0000;1.5708;3.0358;-0.0216;-0.1151;1.5402
25.6890;23.0698;-0.1040;0.0000;1.5708;3.0469;0.1759;-0.0583;1.5316
25.8390;-16.8428;-0.0029;0.0000;1.5708;3.0389;0.0134;-0.0529;1.5969
25.9890;-13.8809;0.1067;0.0000;1.5708;3.0148;-0.3208;-0.0262;1.6564
26.1390;6.7229;0.1607;0.0000;1.5708;2.9752;-0.4108;0.0485;1.6727
26.2910;-3.2441;0.2078;0.0000;1.5708;2.9317;-0.0887;0.1350;1.6822
26.4410;-3.7171;0.1951;0.0000;1.5708;2.9046;0.0755;0.1718;1.6548
26.5910;7.2535;0.1745;0.0000;1.5708;2.9025;-0.0851;0.1061;1.6289
26.7410;4.9146;0.1561;0.0000;1.5708;2.9257;0.2888;0.0692;1.6087
26.8910;7.5020;0.0970;0.0000;1.5708;2.9668;0.4254;0.0027;1.5662
27.0410;17.5020;0.0041;0.0000;1.5708;3.0287;0.2852;-0.1146;1.5136
27.1910;16.5184;-0.0679;0.0000;1.5708;3.0779;0.2076;-0.1390;1.4827
27.3430;31.7767;-0.0885;0.0000;1.5708;3.1101;0.2878;-0.1418;1.4865
27.4930;-18.1682;-0.1173;0.0000;1.5708;3.1294;0.1614;-0.1555;1.4834
27.6430;6.6421;-0.0991;0.0000;1.5708;3.1223;-0.2115;-0.1131;1.5090
27.7930;-8.8335;-0.0456;0.0000;1.5708;3.1087;0.0101;-0.0735;1.5510
27.9430;-10.1447;0.0196;0.0000;1.5708;3.0877;-0.0795;-0.0359;1.5920
28.0930;-1.6383;0.0793;0.0000;1.5708;3.0592;-0.3417;-0.0050;1.6226
28.2430;17.5515;0.1036;0.0000;1.5708;3.0342;-0.2761;0.0356;1.6283
28.3950;0.5304;0.1399;0.0000;1.5708;3.0150;-0.1233;0.0295;1.6387
28.5450;-1.6306;0.1803;0.0000;1.5708;3.0039;0.1146;0.0321;1.6507
28.6950;23.1877;0.2122;0.0000;1.5708;3.0125;0.0335;0.0078;1.6549
28.8450;38.3296;0.2044;0.0000;1.5708;3.0431;0.3583;-0.0204;1.6354
28.9950;-9.3494;0.0727;0.0000;1.5708;3.0976;0.5558;-0.1128;1.5476
29.1450;7.6959;-0.0177;0.0000;1.5708;3.1538;0.3778;-0.2040;1.5001
29.2950;-12.9186;-0.0867;0.0000;1.5708;3.1864;0.0374;-0.1968;1.4725
29.4470;4.0762;-0.2156;0.0000;1.5708;3.1928;0.0817;-0.1632;1.4160
29.5970;-9.4521;-0.2284;0.0000;1.5708;3.1790;-0.0693;-0.1174;1.4362
29.7470;-5.5973;-0.1984;0.0000;1.5708;3.1469;-0.4168;-0.0719;1.4772
29.8970;14.1688;-0.1797;0.0000;1.5708;3.1073;-0.4388;-0.0043;1.5053
