t;V;DeltaV;ref_dx;ref_psi;x;dx;theta;psi
0.0000;-384.8193;-0.0002;0.0000;0.0000;0.0048;0.8041;-0.1661;-0.0001
0.1500;13.0177;-0.0209;0.0000;0.0000;-0.0107;-0.1393;-0.0410;-0.0123
0.3000;-0.4002;-0.0851;0.0000;0.0000;-0.0147;-0.0553;0.0132;-0.0475
0.4500;-0.5754;-0.1367;0.0000;0.0000;0.0031;-0.0341;-0.0413;-0.0685
0.6000;-8.8259;-0.1029;0.0000;0.0000;0.0169;0.2944;-0.0233;-0.0364
0.7500;9.1406;-0.0244;0.0000;0.0000;0.0390;0.0524;-0.0443;0.0140
0.9000;-18.5339;-0.0183;0.0000;0.0000;0.0659;0.0707;-0.0989;0.0156
1.0500;7.9128;0.0214;0.0000;0.0000;0.0719;0.0305;-0.0570;0.0368
1.2000;-14.1370;0.1406;0.0000;0.0000;0.0779;0.0780;-0.0759;0.0994
1.3500;-15.2776;0.2783;0.0000;0.0000;0.0728;-0.0788;-0.0547;0.1615
1.5000;7.7580;0.3080;0.0000;0.0000;0.0711;-0.0171;-0.0497;0.1504
1.6510;-9.0326;0.2975;0.0000;0.0000;0.0718;0.1529;-0.0395;0.1176
1.8010;4.2455;0.2803;0.0000;0.0000;0.0797;-0.0160;-0.0579;0.0875
1.9510;9.8338;0.2805;0.0000;0.0000;0.1005;0.2950;-0.0693;0.0723
2.1010;7.7106;0.2659;0.0000;0.0000;0.1271;0.3441;-0.0926;0.0516
2.2510;-7.5673;0.2019;0.0000;0.0000;0.1726;0.2865;-0.1417;0.0050
2.4010;11.7572;0.1352;0.0000;0.0000;0.2228;0.0477;-0.2365;-0.0337
2.5510;17.2212;0.0563;0.0000;0.0000;0.2576;0.3503;-0.2152;-0.0741
2.7020;-9.2577;-0.0273;0.0000;0.0000;0.2811;0.2121;-0.2490;-0.1085
2.8520;-1.8293;-0.0580;0.0000;0.0000;0.2657;-0.1874;-0.1890;-0.1067
3.0020;-18.7465;-0.0187;0.0000;0.0000;0.2253;-0.4242;-0.1102;-0.0638
3.1520;0.4306;0.0551;0.0000;0.0000;0.1750;-0.3318;-0.0280;-0.0098
3.3020;1.5940;0.0881;0.0000;0.0000;0.1372;-0.1212;-0.0081;0.0101
3.4520;-21.1437;0.0994;0.0000;0.0000;0.1048;-0.1446;-0.0137;0.0150
3.6020;-2.0776;0.1249;0.0000;0.0000;0.0770;-0.3290;-0.0149;0.0271
3.7530;2.8342;0.1654;0.0000;0.0000;0.0573;0.0958;0.0609;0.0458
3.9030;13.1077;0.1263;0.0000;0.0000;0.0751;-0.0403;-0.0368;0.0150
4.0530;20.0428;0.0948;0.0000;0.0000;0.1021;0.3255;-0.0690;-0.0052
4.2030;-7.9652;0.0332;0.0000;0.0000;0.1327;0.1646;-0.1460;-0.0401
4.3530;15.7204;0.0268;0.0000;0.0000;0.1448;-0.0032;-0.1329;-0.0364
4.5030;0.0707;0.0401;0.0000;0.0000;0.1496;0.1698;-0.1174;-0.0227
4.6530;-15.3476;0.0603;0.0000;0.0000;0.1406;-0.1937;-0.0942;-0.0066
4.8040;6.9303;0.0911;0.0000;0.0000;0.1303;0.0550;-0.0524;0.0124
4.9540;-13.4516;0.1527;0.0000;0.0000;0.1190;0.0596;-0.0472;0.0465
5.1040;6.1959;0.1730;0.0000;0.0000;0.1059;-0.3211;-0.0648;0.0490
5.2540;-0.8198;0.1623;0.0000;0.0000;0.0877;0.0573;-0.0090;0.0345
5.4040;-10.8993;0.1793;0.0000;0.0000;0.0682;-0.1570;-0.0026;0.0381
5.5540;11.3194;0.1969;0.0000;0.0000;0.0542;-0.1129;0.0280;0.0413
5.7040;-4.2430;0.1886;0.0000;0.0000;0.0666;0.2037;-0.0256;0.0289
5.8540;-2.4354;0.1889;0.0000;0.0000;0.0819;-0.1367;-0.0812;0.0254
6.0060;-5.9764;0.2210;0.0000;0.0000;0.0959;0.2814;-0.0846;0.0395
6.1560;-7.5517;0.2609;0.0000;0.0000;0.0942;-0.1193;-0.0659;0.0556
6.3060;7.2159;0.2063;0.0000;0.0000;0.0981;0.0090;-0.0571;0.0136
6.4560;-6.8740;0.1784;0.0000;0.0000;0.0982;-0.0222;-0.0780;-0.0046
6.6060;5.7947;0.1524;0.0000;0.0000;0.0816;-0.3053;-0.0373;-0.0181
6.7560;6.7995;0.1491;0.0000;0.0000;0.0689;0.0533;-0.0080;-0.0167
6.9060;-7.6850;0.1505;0.0000;0.0000;0.0618;0.0640;-0.0345;-0.0127
7.0570;0.9071;0.1826;0.0000;0.0000;0.0489;-0.2340;-0.0210;0.0086
7.2070;14.7833;0.1805;0.0000;0.0000;0.0562;0.1220;-0.0130;0.0053
7.3570;14.5255;0.1745;0.0000;0.0000;0.0760;0.3748;-0.0221;0.0004
7.5070;-6.2249;0.1403;0.0000;0.0000;0.1197;0.4520;-0.0822;-0.0196
7.6570;17.8877;0.0505;0.0000;0.0000;0.1819;0.1683;-0.2080;-0.0691
7.8070;15.3157;-0.1458;0.0000;0.0000;0.2215;0.1110;-0.2326;-0.1711
7.9570;-14.5601;-0.2441;0.0000;0.0000;0.2339;-0.0641;-0.2362;-0.1979
8.1100;11.4478;-0.2085;0.0000;0.0000;0.1990;-0.3629;-0.1082;-0.1421
8.2600;-18.9886;-0.0949;0.0000;0.0000;0.1576;-0.1207;-0.0325;-0.0519
8.4100;-0.3753;-0.0037;0.0000;0.0000;0.1133;-0.3441;0.0105;0.0088
8.5600;18.6189;0.0342;0.0000;0.0000;0.0699;-0.3705;0.0585;0.0300
8.7100;-10.9503;0.1087;0.0000;0.0000;0.0448;-0.0334;0.0520;0.0676
8.8600;7.3769;0.1592;0.0000;0.0000;0.0347;0.1287;0.0654;0.0858
9.0100;15.9885;0.1643;0.0000;0.0000;0.0561;0.2361;-0.0029;0.0740
9.1620;-7.6804;0.2064;0.0000;0.0000;0.0830;0.3189;-0.0644;0.0861
9.3120;-25.4545;0.2052;0.0000;0.0000;0.1203;0.1148;-0.1236;0.0701
9.4620;1.9920;0.1243;0.0000;0.0000;0.1502;0.1128;-0.1502;0.0107
9.6120;-0.1498;0.0684;0.0000;0.0000;0.1589;-0.0445;-0.1487;-0.0238
9.7620;-1.1502;0.0545;0.0000;0.0000;0.1426;0.0504;-0.0890;-0.0272
9.9120;-12.4572;0.0655;0.0000;0.0000;0.1150;-0.3030;-0.0584;-0.0146
10.0620;8.5507;0.1172;0.0000;0.0000;0.0761;-0.4831;-0.0016;0.0180
10.2130;-0.1751;0.1497;0.0000;0.0000;0.0377;-0.1842;0.0516;0.0338
10.3630;-11.3200;0.1197;0.0000;0.0000;0.0093;0.0594;0.0732;0.0109
10.5130;9.7288;0.1485;0.0000;0.0000;-0.0091;-0.0858;0.0762;0.0248
10.6630;-8.6611;0.1359;0.0000;0.0000;0.0033;0.3028;0.0260;0.0129
10.8130;10.8434;0.1308;0.0000;0.0000;0.0260;0.0627;-0.0395;0.0075
