t;V;DeltaV;ref_dx;ref_psi;x;dx;theta;psi
0.0000;-48.6021;-0.0000;0.0000;0.0000;0.0065;1.0846;-0.0396;-0.0000
0.1500;0.0250;0.0408;0.0000;0.0000;-0.0010;0.0187;0.0022;0.0239
0.3000;16.6378;0.0273;0.0000;0.0000;0.0052;0.0804;0.0300;0.0130
0.4500;10.6811;0.0152;0.0000;0.0000;0.0324;0.1513;-0.0385;0.0046
0.6000;-3.0643;0.0295;0.0000;0.0000;0.0488;-0.0099;-0.0924;0.0113
0.7500;-12.1008;-0.0109;0.0000;0.0000;0.0537;0.1052;-0.0914;-0.0131
0.9000;7.7152;-0.0299;0.0000;0.0000;0.0389;0.0277;-0.0104;-0.0219
1.0500;8.4561;-0.0124;0.0000;0.0000;0.0301;-0.2596;-0.0133;-0.0075
1.2000;-8.8661;0.0007;0.0000;0.0000;0.0272;0.1618;-0.0034;0.0015
1.3500;4.4864;-0.0169;0.0000;0.0000;0.0425;0.3084;-0.0055;-0.0083
1.5000;8.6095;-0.0103;0.0000;0.0000;0.0645;0.0764;-0.0556;-0.0026
1.6500;-10.6608;-0.0217;0.0000;0.0000;0.0960;0.1806;-0.1309;-0.0086
1.8000;8.0294;-0.0172;0.0000;0.0000;0.1112;0.1448;-0.1305;-0.0040
1.9500;-0.5572;0.0204;0.0000;0.0000;0.1110;-0.2152;-0.1282;0.0187
2.1000;-13.6638;0.1046;0.0000;0.0000;0.0981;-0.1106;-0.0951;0.0650
2.2500;5.8396;0.1703;0.0000;0.0000;0.0692;-0.1553;-0.0106;0.0905
2.4000;8.7235;0.2108;0.0000;0.0000;0.0516;-0.2310;0.0048;0.0976
2.5500;-14.4372;0.2123;0.0000;0.0000;0.0456;-0.0362;-0.0134;0.0813
2.7000;-4.0486;0.1827;0.0000;0.0000;0.0487;0.2862;-0.0036;0.0504
2.8500;6.4602;0.1147;0.0000;0.0000;0.0591;-0.0054;-0.0519;0.0035
3.0000;-9.2399;0.1389;0.0000;0.0000;0.0833;0.2405;-0.0989;0.0173
3.1500;17.5197;0.1348;0.0000;0.0000;0.0930;-0.1543;-0.1075;0.0121
3.3000;-11.8816;0.1025;0.0000;0.0000;0.1089;0.1258;-0.1294;-0.0089
3.4500;0.3981;0.0785;0.0000;0.0000;0.1092;0.1052;-0.0838;-0.0212
3.6000;-7.5299;0.0841;0.0000;0.0000;0.1121;-0.1696;-0.1104;-0.0136
3.7500;-13.0379;0.1181;0.0000;0.0000;0.1085;0.0423;-0.0917;0.0080
3.9000;12.6997;0.1142;0.0000;0.0000;0.0929;-0.0660;-0.0413;0.0037
4.0500;-8.5926;0.1398;0.0000;0.0000;0.0793;-0.0740;-0.0399;0.0178
4.2000;-2.7658;0.1609;0.0000;0.0000;0.0634;-0.2013;-0.0193;0.0268
4.3500;-2.0318;0.1527;0.0000;0.0000;0.0646;0.0607;-0.0439;0.0174
4.5000;0.1523;0.1568;0.0000;0.0000;0.0730;0.0544;-0.0359;0.0170
4.6500;-0.2546;0.1014;0.0000;0.0000;0.1048;0.1325;-0.1096;-0.0184
4.8000;4.8774;0.1191;0.0000;0.0000;0.1391;0.2804;-0.1584;-0.0034
4.9500;-7.7971;0.0446;0.0000;0.0000;0.1631;0.0823;-0.1950;-0.0454
5.1000;15.4250;0.0245;0.0000;0.0000;0.1686;0.0423;-0.1522;-0.0475
5.2500;-19.0479;0.0199;0.0000;0.0000;0.1806;-0.1131;-0.1916;-0.0431
5.4000;-9.5306;0.0149;0.0000;0.0000;0.1760;-0.0322;-0.1628;-0.0380
5.5500;4.8693;0.0427;0.0000;0.0000;0.1523;0.0047;-0.0842;-0.0149
5.7000;7.1596;0.1049;0.0000;0.0000;0.1256;-0.3273;-0.0522;0.0238
5.8500;-9.5369;0.1154;0.0000;0.0000;0.1046;-0.0144;-0.0292;0.0259
6.0000;10.4380;0.1106;0.0000;0.0000;0.0896;-0.0103;-0.0137;0.0188
6.1500;-7.0131;0.0885;0.0000;0.0000;0.0892;-0.2552;-0.0739;0.0026
6.3000;4.8074;0.0755;0.0000;0.0000;0.0870;0.1498;-0.0544;-0.0056
6.4500;1.8036;0.0640;0.0000;0.0000;0.0854;-0.2445;-0.0815;-0.0122
6.6000;16.9881;0.0926;0.0000;0.0000;0.0789;0.0554;-0.0312;0.0066
6.7500;-6.1004;0.1213;0.0000;0.0000;0.0863;-0.0865;-0.0617;0.0211
6.9000;-4.0575;0.0977;0.0000;0.0000;0.0988;0.2113;-0.0905;0.0044
7.0500;1.5007;0.0598;0.0000;0.0000;0.0964;-0.0283;-0.0704;-0.0189
7.2000;4.5087;0.0534;0.0000;0.0000;0.0946;-0.1955;-0.0712;-0.0196
7.3500;3.1037;0.0348;0.0000;0.0000;0.0949;0.1921;-0.0555;-0.0258
7.5000;2.9179;0.0725;0.0000;0.0000;0.0930;-0.1981;-0.0848;0.0010
7.6500;1.6472;0.0931;0.0000;0.0000;0.0876;0.1428;-0.0454;0.0123
7.8000;-1.3469;0.1167;0.0000;0.0000;0.0845;-0.1276;-0.0499;0.0247
7.9500;-3.2676;0.1407;0.0000;0.0000;0.0905;0.2548;-0.0544;0.0342
8.1000;6.2118;0.1338;0.0000;0.0000;0.0905;-0.1783;-0.0693;0.0241
8.2500;-11.5345;0.1001;0.0000;0.0000;0.0980;0.2188;-0.0857;0.0002
8.4000;9.5392;0.1248;0.0000;0.0000;0.0977;-0.1052;-0.0801;0.0143
8.5500;-7.1429;0.1217;0.0000;0.0000;0.1006;0.0877;-0.0841;0.0101
8.7000;3.8942;0.1495;0.0000;0.0000;0.0949;0.0212;-0.0447;0.0241
8.8500;-6.1550;0.1308;0.0000;0.0000;0.1041;-0.0167;-0.0981;0.0086
9.0000;13.2563;0.1146;0.0000;0.0000;0.1048;0.1332;-0.0592;-0.0028
9.1500;7.4169;0.0729;0.0000;0.0000;0.1051;-0.1442;-0.0802;-0.0263
9.3000;-1.2693;0.0409;0.0000;0.0000;0.1040;-0.1770;-0.0869;-0.0398
9.4500;1.5598;0.0447;0.0000;0.0000;0.0942;0.1093;-0.0439;-0.0300
9.6000;-3.2562;0.0784;0.0000;0.0000;0.0818;-0.3149;-0.0495;-0.0052
9.7500;-12.3906;0.0988;0.0000;0.0000;0.0791;0.0917;-0.0560;0.0070
9.9000;9.5893;0.1044;0.0000;0.0000;0.0682;-0.1716;-0.0332;0.0088
10.0500;-8.1516;0.1174;0.0000;0.0000;0.0654;-0.1008;-0.0410;0.0152
10.2000;7.0183;0.1210;0.0000;0.0000;0.0662;0.0354;-0.0458;0.0136
10.3500;-0.8892;0.0836;0.0000;0.0000;0.0729;0.0049;-0.0686;-0.0106
10.5000;6.2721;0.0783;0.0000;0.0000;0.0794;0.1567;-0.0567;-0.0121
10.6500;1.0042;0.0757;0.0000;0.0000;0.0881;0.0139;-0.0894;-0.0112
10.8000;9.8844;0.0488;0.0000;0.0000;0.0837;-0.1636;-0.0579;-0.0249
10.9500;-9.7422;0.0145;0.0000;0.0000;0.0941;0.2119;-0.0690;-0.0404
11.1000;13.6301;0.0005;0.0000;0.0000;0.1095;0.0620;-0.0917;-0.0415
11.2500;-15.4551;0.0402;0.0000;0.0000;0.1267;0.0420;-0.1440;-0.0109
11.4000;0.9168;0.0781;0.0000;0.0000;0.1342;0.2426;-0.1202;0.0125
11.5500;5.2353;0.1186;0.0000;0.0000;0.1371;-0.1388;-0.1281;0.0339
11.7000;-5.2000;0.1277;0.0000;0.0000;0.1381;-0.1122;-0.1250;0.0341
11.8500;11.2496;0.1224;0.0000;0.0000;0.1315;0.1031;-0.0930;0.0251
12.0000;0.3924;0.1241;0.0000;0.0000;0.1226;-0.2942;-0.1073;0.0214
12.1500;-13.2373;0.1549;0.0000;0.0000;0.1097;0.0034;-0.0680;0.0362
12.3000;0.1675;0.1808;0.0000;0.0000;0.0908;-0.0293;-0.0293;0.0449
12.4500;-5.5084;0.1362;0.0000;0.0000;0.0799;-0.2009;-0.0404;0.0107
12.6000;-2.1342;0.1324;0.0000;0.0000;0.0771;0.1710;-0.0338;0.0079
12.7500;9.9739;0.1556;0.0000;0.0000;0.0741;-0.0765;-0.0471;0.0186
12.9000;-6.2264;0.1207;0.0000;0.0000;0.0778;0.0557;-0.0589;-0.0049
13.0500;-0.2241;0.1027;0.0000;0.0000;0.0854;0.0845;-0.0687;-0.0147
13.2000;-5.2150;0.0843;0.0000;0.0000;0.1038;-0.0759;-0.1210;-0.0229
13.3500;0.1409;0.0617;0.0000;0.0000;0.1080;0.1813;-0.0839;-0.0310
13.5000;-3.2395;0.0623;0.0000;0.0000;0.1149;-0.1540;-0.1193;-0.0255
13.6500;-9.7754;0.0740;0.0000;0.0000;0.1185;0.0984;-0.1171;-0.0143
13.8000;4.6784;0.0547;0.0000;0.0000;0.1138;0.0368;-0.0921;-0.0230
13.9500;-2.0369;0.0570;0.0000;0.0000;0.1017;-0.2726;-0.0823;-0.0175
14.1000;-5.0332;0.0903;0.0000;0.0000;0.0931;0.1452;-0.0520;0.0051
14.2500;15.4084;0.0654;0.0000;0.0000;0.0784;-0.1257;-0.0269;-0.0106
14.4000;-3.5154;0.0979;0.0000;0.0000;0.0708;-0.1160;-0.0345;0.0102
14.5500;7.8327;0.0943;0.0000;0.0000;0.0634;0.0468;-0.0114;0.0055
14.7000;1.2528;0.0758;0.0000;0.0000;0.0697;-0.0969;-0.0570;-0.0058
14.8500;-9.2713;0.0763;0.0000;0.0000;0.0778;0.0990;-0.0694;-0.0038
15.0000;7.6589;0.0413;0.0000;0.0000;0.0833;0.1491;-0.0684;-0.0236
15.1500;1.0823;-0.0140;0.3000;0.0000;0.0838;-0.2431;-0.0706;-0.0504
15.3000;-10.8504;0.0094;0.3000;0.0000;0.0819;0.0336;-0.0281;-0.0271
15.4500;13.6494;0.0386;0.3000;0.0000;0.0776;0.1810;0.0427;-0.0059
15.6000;7.0925;0.0364;0.3000;0.0000;0.0944;0.2320;0.0603;-0.0062
15.7500;9.3471;0.0486;0.3000;0.0000;0.1281;0.1235;0.0147;0.0012
15.9000;16.5046;0.0105;0.3000;0.0000;0.1824;0.4703;-0.0272;-0.0207
16.0500;3.0514;-0.0389;0.3000;0.0000;0.2421;0.4416;-0.1045;-0.0447
16.2000;9.0087;-0.0585;0.3000;0.0000;0.2998;0.2561;-0.1130;-0.0485
16.3500;12.0664;-0.0871;0.3000;0.0000;0.3533;0.3347;-0.1093;-0.0558
16.5000;-5.4361;-0.0677;0.3000;0.0000;0.4049;0.4177;-0.1120;-0.0345
16.6500;3.0290;-0.0814;0.3000;0.0000;0.4430;0.0424;-0.1034;-0.0372
16.8000;5.6057;-0.1037;0.3000;0.0000;0.4775;0.2853;-0.0485;-0.0436
16.9500;-4.5397;-0.0983;0.3000;0.0000;0.5198;0.2012;-0.0711;-0.0324
17.1220;-2.6847;-0.1109;0.3000;0.0000;0.5636;0.0708;-0.0855;-0.0338
17.2720;-3.5361;-0.1032;0.3000;0.0000;0.5837;0.3075;-0.0048;-0.0225
17.4220;3.7937;-0.0654;0.3000;0.0000;0.6021;0.0603;0.0407;0.0024
17.5720;21.9877;0.0396;0.3000;0.0000;0.6489;0.4913;0.0296;0.0662
17.7220;-0.3235;0.0490;0.3000;0.0000;0.7182;0.1946;-0.1166;0.0584
17.8720;15.6886;0.0184;0.3000;0.0000;0.7793;0.5566;-0.1119;0.0298
18.0220;-6.0512;-0.0248;0.3000;0.0000;0.8376;0.3730;-0.1335;-0.0006
18.1720;15.0210;-0.1639;0.3000;0.0000;0.8863;0.1967;-0.1137;-0.0801
18.3220;-7.1125;-0.1187;0.3000;0.0000;0.9282;0.3185;-0.0983;-0.0397
18.4720;5.9678;-0.0973;0.3000;0.0000;0.9607;0.1197;-0.0467;-0.0212
18.6220;9.5851;-0.0849;0.3000;0.0000;0.9989;0.2799;-0.0132;-0.0110
18.7720;-1.2836;-0.0793;0.3000;0.0000;1.0402;0.4406;-0.0162;-0.0054
18.9220;-15.8392;-0.0905;0.3000;0.0000;1.0858;0.2045;-0.0846;-0.0111
19.0720;14.6748;-0.0027;0.3000;0.0000;1.1065;0.2466;-0.0047;0.0418
19.2220;0.5979;0.0451;0.3000;0.0000;1.1305;0.3221;0.0292;0.0614
19.3720;15.4124;0.0032;0.3000;0.0000;1.1750;0.2798;0.0078;0.0264
19.5220;18.9810;-0.0181;0.3000;0.0000;1.2259;0.3744;-0.0274;0.0099
19.6720;5.7623;-0.0154;0.3000;0.0000;1.2838;0.2455;-0.0663;0.0088
19.8220;9.4608;-0.0722;0.3000;0.0000;1.3477;0.3915;-0.0866;-0.0248
19.9720;4.7518;-0.0986;0.3000;0.0000;1.4004;0.3101;-0.1049;-0.0355
20.1220;-1.9211;-0.4927;0.3000;1.5708;1.4347;0.1190;-0.0509;-0.0349
20.2720;0.5514;-0.8208;0.3000;1.5708;1.4658;0.4074;0.0010;0.0557
20.4220;2.1800;-1.0147;0.3000;1.5708;1.5011;0.2142;-0.0056;0.2065
20.5720;3.3284;-1.0090;0.3000;1.5708;1.5442;0.2926;-0.0144;0.4497
20.7220;-5.0990;-0.9467;0.3000;1.5708;1.5932;0.4111;-0.0382;0.6807
20.8720;5.4997;-0.7673;0.3000;1.5708;1.6356;0.1893;-0.0322;0.9390
21.0220;-0.2584;-0.4311;0.3000;1.5708;1.6940;0.4491;-0.0507;1.2453
21.1720;-6.2104;-0.2510;0.3000;1.5708;1.7475;0.2907;-0.0943;1.4031
21.3220;20.8569;-0.1857;0.3000;1.5708;1.7836;0.1658;-0.0336;1.4703
21.4720;0.1594;-0.1666;0.3000;1.5708;1.8237;0.4695;-0.0101;1.4982
21.6220;6.2178;-0.0916;0.3000;1.5708;1.8679;0.2442;-0.0292;1.5576
21.7720;-14.6550;-0.0225;0.3000;1.5708;1.9026;0.1605;-0.0225;1.5991
21.9220;5.3809;0.0009;0.3000;1.5708;1.9437;0.2600;-0.0125;1.6071
22.0720;19.8068;-0.0534;0.3000;1.5708;2.0037;0.5237;-0.0609;1.5694
22.2220;1.5496;-0.0666;0.3000;1.5708;2.0703;0.5965;-0.0975;1.5614
22.3720;-0.0302;-0.1070;0.3000;1.5708;2.1363;0.3213;-0.1481;1.5398
22.5220;2.4358;-0.1544;0.3000;1.5708;2.1806;0.4265;-0.0778;1.5179
22.6720;-7.2652;-0.1698;0.3000;1.5708;2.2253;0.4001;-0.0787;1.5190
22.8220;6.9949;-0.1352;0.3000;1.5708;2.2610;0.0383;-0.0617;1.5484
22.9720;20.0463;-0.0583;0.3000;1.5708;2.3010;0.1872;-0.0465;1.5982
23.1220;3.7677;-0.0268;0.3000;1.5708;2.3341;0.3391;-0.0084;1.6111
23.2720;-0.9041;-0.0674;0.3000;1.5708;2.3795;0.4586;-0.0091;1.5798
23.4220;8.4179;-0.1031;0.3000;1.5708;2.4449;0.3187;-0.1035;1.5583
23.5720;-3.3013;-0.1300;0.3000;1.5708;2.5071;0.6758;-0.1226;1.5449
23.7220;-9.1520;-0.0860;0.3000;1.5708;2.5693;0.2183;-0.1726;1.5754
23.8720;4.0677;-0.0754;0.3000;1.5708;2.6153;0.1773;-0.1332;1.5806
24.0220;7.4773;-0.0991;0.3000;1.5708;2.6505;0.2448;-0.0709;1.5656
24.1720;-2.2156;-0.0820;0.3000;1.5708;2.6897;0.4269;-0.0431;1.5755
24.3220;-3.8025;-0.0398;0.3000;1.5708;2.7254;0.3204;-0.0421;1.5996
24.4720;-4.5740;-0.0812;0.3000;1.5708;2.7532;0.0927;-0.0186;1.5717
24.6220;10.4544;-0.0657;0.3000;1.5708;2.7873;0.1628;-0.0066;1.5813
24.7720;3.0639;-0.0826;0.3000;1.5708;2.8189;0.2379;-0.0048;1.5691
24.9220;18.8969;-0.0401;0.3000;1.5708;2.8417;0.0136;0.0267;1.5951
25.0720;10.4632;-0.0402;0.0000;1.5708;2.8778;0.3990;0.0238;1.5896
25.2220;4.0603;-0.0422;0.0000;1.5708;2.9348;0.2498;-0.0640;1.5859
25.3720;8.3081;-0.0651;0.0000;1.5708;2.9982;0.3307;-0.1349;1.5692
25.5220;-13.7247;-0.1131;0.0000;1.5708;3.0438;0.2868;-0.1742;1.5425
25.6720;7.5683;-0.1149;0.0000;1.5708;3.0555;0.0989;-0.1239;1.5469
25.8220;-6.1069;-0.0652;0.0000;1.5708;3.0497;-0.2553;-0.0908;1.5795
25.9720;-0.6413;-0.0010;0.0000;1.5708;3.0296;0.0059;0.0045;1.6163
26.1220;9.7056;0.0258;0.0000;1.5708;3.0114;-0.2128;0.0311;1.6229
26.2720;-10.0248;0.0772;0.0000;1.5708;3.0113;0.1075;0.0051;1.6441
26.4220;9.6998;0.1214;0.0000;1.5708;3.0177;0.0479;-0.0101;1.6562
26.5720;-3.4153;0.0990;0.0000;1.5708;3.0374;0.2407;-0.0419;1.6290
26.7220;4.6840;0.0743;0.0000;1.5708;3.0617;0.1023;-0.0906;1.6044
26.8720;-4.0741;0.0664;0.0000;1.5708;3.0734;0.0414;-0.1006;1.5937
27.0220;2.8264;0.0855;0.0000;1.5708;3.0780;0.0524;-0.0816;1.6020
27.1720;-1.8297;0.1337;0.0000;1.5708;3.0783;-0.1700;-0.0843;1.6244
27.3220;13.9932;0.1875;0.0000;1.5708;3.0724;0.1464;-0.0306;1.6459
27.4720;3.9061;0.2246;0.0000;1.5708;3.0661;-0.2583;-0.0531;1.6535
27.6220;15.2379;0.2015;0.0000;1.5708;3.0591;0.1411;-0.0172;1.6255
27.7720;18.3532;0.1380;0.0000;1.5708;3.0579;-0.0135;-0.0316;1.5795
27.9220;0.1236;0.1146;0.0000;1.5708;3.0626;0.0899;-0.0471;1.5649
28.0720;-15.8606;0.1358;0.0000;1.5708;3.0642;-0.0305;-0.0556;1.5779
28.2220;9.1931;0.1588;0.0000;1.5708;3.0739;0.1959;-0.0429;1.5900
28.3720;-14.6208;0.1311;0.0000;1.5708;3.0950;0.0678;-0.1071;1.5695
28.5220;13.1157;0.0860;0.0000;1.5708;3.1111;0.2376;-0.1156;1.5443
28.6720;-14.8166;0.1078;0.0000;1.5708;3.1122;-0.0944;-0.1148;1.5624
28.8220;0.6452;0.1483;0.0000;1.5708;3.1096;-0.0147;-0.0905;1.5871
28.9720;-5.0196;0.1464;0.0000;1.5708;3.1102;-0.1319;-0.1024;1.5828
29.1220;-4.7480;0.0951;0.0000;1.5708;3.1055;0.1189;-0.0779;1.5506
29.2720;1.3629;0.0784;0.0000;1.5708;3.0893;-0.2948;-0.0583;1.5452
29.4220;-3.4825;0.1239;0.0000;1.5708;3.0810;0.1822;-0.0294;1.5761
29.5720;-2.7730;0.1424;0.0000;1.5708;3.0688;-0.0917;-0.0186;1.5851
29.7220;-3.1785;0.1331;0.0000;1.5708;3.0620;-0.0699;-0.0173;1.5780
29.8720;3.4261;0.1357;0.0000;1.5708;3.0606;0.0169;-0.0192;1.5782
