t;u;ref_dx;ref_psi;dx;theta;psi
0.3327;-70;0.0000;0.0000;-0.0767;-0.1347;-0.0152
0.3357;62;0.0000;0.0000;-0.0383;-0.1022;-0.0178
0.3410;-12;0.0000;0.0000;-0.0379;-0.1068;-0.0185
0.3437;2;0.0000;0.0000;-0.0376;-0.1042;-0.0198
0.3467;-22;0.0000;0.0000;-0.0562;-0.1132;-0.0209
0.3497;-35;0.0000;0.0000;-0.0655;-0.1280;-0.0215
0.3540;-5;0.0000;0.0000;-0.1263;-0.1272;-0.0222
0.3567;8;0.0000;0.0000;-0.1566;-0.1193;-0.0233
0.3597;51;0.0000;0.0000;-0.1905;-0.0902;-0.0249
0.3627;58;0.0000;0.0000;-0.1514;-0.0590;-0.0265
0.3670;-36;0.0000;0.0000;-0.0196;-0.0763;-0.0274
0.3697;25;0.0000;0.0000;0.0650;-0.0644;-0.0293
0.3727;-56;0.0000;0.0000;0.0886;-0.0926;-0.0294
0.3760;-51;0.0000;0.0000;0.0630;-0.1174;-0.0279
0.3803;-55;0.0000;0.0000;-0.0059;-0.1427;-0.0272
0.3835;-43;0.0000;0.0000;-0.0964;-0.1604;-0.0267
0.3861;21;0.0000;0.0000;-0.1978;-0.1450;-0.0255
0.3888;13;0.0000;0.0000;-0.2485;-0.1328;-0.0247
0.3923;42;0.0000;0.0000;-0.2552;-0.1069;-0.0248
0.3970;25;0.0000;0.0000;-0.1089;-0.0919;-0.0259
0.3997;50;0.0000;0.0000;0.0578;-0.0678;-0.0271
0.4027;-33;0.0000;0.0000;0.1785;-0.0862;-0.0284
0.4060;-57;0.0000;0.0000;0.2388;-0.1167;-0.0284
0.4113;-38;0.0000;0.0000;0.1755;-0.1366;-0.0264
0.4144;-18;0.0000;0.0000;0.0317;-0.1443;-0.0282
0.4170;-81;0.0000;0.0000;-0.1151;-0.1797;-0.0272
0.4197;-4;0.0000;0.0000;-0.1697;-0.1765;-0.0271
0.4227;48;0.0000;0.0000;-0.1971;-0.1477;-0.0287
0.4272;90;0.0000;0.0000;-0.2481;-0.0987;-0.0319
0.4299;49;0.0000;0.0000;-0.1241;-0.0722;-0.0311
0.4327;53;0.0000;0.0000;-0.0246;-0.0456;-0.0321
0.4357;-42;0.0000;0.0000;0.0812;-0.0674;-0.0320
0.4387;-41;0.0000;0.0000;0.1715;-0.0898;-0.0305
0.4432;-20;0.0000;0.0000;0.1418;-0.1011;-0.0273
0.4459;-45;0.0000;0.0000;-0.0039;-0.1217;-0.0257
0.4487;-68;0.0000;0.0000;-0.0954;-0.1518;-0.0272
0.4517;-78;0.0000;0.0000;-0.2534;-0.1837;-0.0253
0.4549;44;0.0000;0.0000;-0.3324;-0.1543;-0.0275
0.4591;18;0.0000;0.0000;-0.4093;-0.1372;-0.0280
0.4617;69;0.0000;0.0000;-0.2982;-0.0978;-0.0322
0.4647;50;0.0000;0.0000;-0.1865;-0.0695;-0.0324
0.4680;-13;0.0000;0.0000;-0.0184;-0.0752;-0.0330
0.4717;-49;0.0000;0.0000;0.1030;-0.1002;-0.0325
0.4754;-9;0.0000;0.0000;0.0702;-0.1046;-0.0355
0.4780;-20;0.0000;0.0000;-0.0210;-0.1132;-0.0343
0.4807;-50;0.0000;0.0000;-0.1414;-0.1339;-0.0342
0.4837;-2;0.0000;0.0000;-0.2577;-0.1297;-0.0345
0.4880;29;0.0000;0.0000;-0.4467;-0.1073;-0.0361
0.4907;57;0.0000;0.0000;-0.4104;-0.0725;-0.0353
0.4937;-40;0.0000;0.0000;-0.3361;-0.0863;-0.0348
0.4970;47;0.0000;0.0000;-0.1867;-0.0600;-0.0342
0.5014;-16;0.0000;0.0000;-0.1495;-0.0654;-0.0337
0.5045;-44;0.0000;0.0000;-0.0934;-0.0848;-0.0327
0.5071;-51;0.0000;0.0000;-0.0841;-0.1077;-0.0347
0.5098;38;0.0000;0.0000;-0.1169;-0.0858;-0.0353
0.5127;-21;0.0000;0.0000;-0.2267;-0.0920;-0.0336
0.5157;-49;0.0000;0.0000;-0.2443;-0.1111;-0.0339
0.5187;10;0.0000;0.0000;-0.2530;-0.1006;-0.0337
0.5217;30;0.0000;0.0000;-0.3135;-0.0799;-0.0347
0.5249;-6;0.0000;0.0000;-0.3251;-0.0773;-0.0333
0.5301;25;0.0000;0.0000;-0.1999;-0.0614;-0.0337
0.5327;8;0.0000;0.0000;-0.0626;-0.0561;-0.0342
0.5357;36;0.0000;0.0000;-0.0313;-0.0380;-0.0348
0.5387;-39;0.0000;0.0000;0.0218;-0.0572;-0.0354
0.5417;-40;0.0000;0.0000;0.0670;-0.0776;-0.0349
0.5447;-41;0.0000;0.0000;0.0148;-0.0971;-0.0356
0.5477;-49;0.0000;0.0000;-0.0861;-0.1185;-0.0363
0.5507;-73;0.0000;0.0000;-0.1740;-0.1495;-0.0357
0.5539;27;0.0000;0.0000;-0.2740;-0.1298;-0.0370
0.5580;52;0.0000;0.0000;-0.3427;-0.0973;-0.0375
0.5607;92;0.0000;0.0000;-0.2835;-0.0474;-0.0389
0.5637;36;0.0000;0.0000;-0.1792;-0.0268;-0.0392
0.5667;45;0.0000;0.0000;-0.0335;-0.0046;-0.0411
0.5697;-29;0.0000;0.0000;0.0768;-0.0206;-0.0412
0.5727;-47;0.0000;0.0000;0.1319;-0.0461;-0.0414
0.5757;-15;0.0000;0.0000;0.0659;-0.0543;-0.0422
0.5787;-32;0.0000;0.0000;-0.0418;-0.0691;-0.0412
0.5817;-63;0.0000;0.0000;-0.1705;-0.0964;-0.0428
0.5849;-88;0.0000;0.0000;-0.2910;-0.1335;-0.0417
0.5901;41;0.0000;0.0000;-0.4821;-0.1043;-0.0420
0.5927;48;0.0000;0.0000;-0.4093;-0.0734;-0.0428
0.5957;52;0.0000;0.0000;-0.2982;-0.0428;-0.0446
0.5987;45;0.0000;0.0000;-0.1678;-0.0183;-0.0458
0.6017;2;0.0000;0.0000;-0.0465;-0.0169;-0.0476
0.6047;-41;0.0000;0.0000;0.0703;-0.0383;-0.0477
0.6077;-27;0.0000;0.0000;0.0912;-0.0528;-0.0508
0.6107;4;0.0000;0.0000;-0.0105;-0.0503;-0.0512
0.6139;-39;0.0000;0.0000;-0.1548;-0.0665;-0.0519
0.6180;55;0.0000;0.0000;-0.2457;-0.0354;-0.0535
0.6207;25;0.0000;0.0000;-0.2538;-0.0194;-0.0544
0.6237;34;0.0000;0.0000;-0.2391;0.0005;-0.0555
0.6267;4;0.0000;0.0000;-0.1569;0.0043;-0.0555
0.6297;-43;0.0000;0.0000;-0.0224;-0.0169;-0.0566
0.6327;39;0.0000;0.0000;0.0636;0.0008;-0.0567
0.6357;-18;0.0000;0.0000;0.0692;-0.0099;-0.0570
0.6387;-18;0.0000;0.0000;0.0346;-0.0196;-0.0572
0.6419;-33;0.0000;0.0000;-0.0201;-0.0357;-0.0576
0.6471;-51;0.0000;0.0000;-0.2157;-0.0573;-0.0571
0.6497;-35;0.0000;0.0000;-0.2575;-0.0699;-0.0565
0.6527;41;0.0000;0.0000;-0.3157;-0.0444;-0.0582
0.6557;47;0.0000;0.0000;-0.3449;-0.0163;-0.0564
0.6587;62;0.0000;0.0000;-0.2846;0.0176;-0.0572
0.6617;43;0.0000;0.0000;-0.1610;0.0400;-0.0564
0.6647;-17;0.0000;0.0000;-0.0244;0.0302;-0.0564
0.6677;11;0.0000;0.0000;0.0813;0.0330;-0.0574
0.6709;-34;0.0000;0.0000;0.0780;0.0140;-0.0578
0.6752;-13;0.0000;0.0000;0.0203;0.0064;-0.0582
0.6778;-44;0.0000;0.0000;-0.0272;-0.0156;-0.0582
0.6807;14;0.0000;0.0000;-0.0884;-0.0075;-0.0611
0.6837;-6;0.0000;0.0000;-0.1938;-0.0083;-0.0603
0.6867;12;0.0000;0.0000;-0.2091;0.0001;-0.0606
0.6897;23;0.0000;0.0000;-0.1794;0.0135;-0.0599
0.6927;38;0.0000;0.0000;-0.1084;0.0326;-0.0594
0.6957;39;0.0000;0.0000;-0.0355;0.0507;-0.0582
0.6989;18;0.0000;0.0000;0.0945;0.0566;-0.0574
0.7029;-19;0.0000;0.0000;0.2342;0.0421;-0.0572
0.7057;-33;0.0000;0.0000;0.2106;0.0211;-0.0567
0.7087;-28;0.0000;0.0000;0.1240;0.0045;-0.0580
0.7117;-49;0.0000;0.0000;0.0246;-0.0204;-0.0581
0.7147;47;0.0000;0.0000;-0.1186;0.0039;-0.0604
0.7177;-79;0.0000;0.0000;-0.2089;-0.0322;-0.0615
